restaurant_name,rating,price_for_one,cuisine,item_name,description,price
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Chilli Garlic Noodles,,₹170
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Schezwan Noodles,,₹170
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Hakka Noodles,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Chilli Garlic Noodles,,₹190
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Hakka Noodles,,₹190
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Schezwan Noodles,,₹190
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Penne Arrabiata Pasta,Tangy and spicy red sauce pasta cooked in tomato base sauce served with ... read more,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Penne Arrabiata Pasta,,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Penne Alfredo Pasta,Penne pasta cooked in creamy cheesy alfredo sauce mixed with veggies.,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Penne Alfredo Pasta,,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg Penne Marinara Pasta,,₹230
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Penne Arrabiata Pasta,Tangy and spicy red sauce pasta mixed with chicken served with garlic bread.,₹240
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Penne Arrabiata Pasta,,₹240
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Penne Alfredo Pasta,Penne pasta cooked in creamy alfredo sauce [white sauce] mixed chicken served with ... read more,₹240
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Penne Alfredo Pasta,,₹240
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Non Veg Penne Marinara Pasta,,₹240
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg and Cheese Sandwich,Sandwiches,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Veg and Cheese Sandwich,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Corn Cheese Sandwich,,₹150
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Tandoori Sandwich,"Cottage cheese, onion tandoori flavour stuffed in jumbo brown bread served with French ... read more",₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Tandoori Sandwich,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Tandoori Sandwich,,₹190
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Burger,Burgers,₹160
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Paneer Burger,,₹160
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Barbeque Chicken Burger,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Chicken Burger,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Salted Potato Wedges,Wedges of potato deep fried served with thousand sauce.,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Salted Potato Wedges,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Peri Peri Potato Wedges,,₹199
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Garlic Bread,,₹99
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Cheesy Garlic Bread,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Salted French Fries,,₹170
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Peri Peri French Fries,,₹198
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Cheese Baked French Fries,,₹180
The Pindi Bowl,3.9,₹150 for one,"North Indian, Chinese",Baked Cheese Nachos,,₹160
